artistName,trackName,msPlayed
Bazzi,3:15,1469611
The 1975,12,216399
LANY,13,234818
One Direction,18,772307
Gracie Abrams,21,549564
Taylor Swift,22,9344
Mike WiLL Made-It,23,5649
Caamp,26,4160810
Run River North,29,1514
Mumford & Sons,42,86933
Bleachers,45,3477
Jess Glynne,123,18453
Arctic Monkeys,505,6478
Phoenix,1901,193106
King Princess,1950,1151
King Princess,1950,1493
King Princess,1950,2111
Billy Raffoul,1975,21440
Bowling For Soup,1985,6997
Bo Burnham,1985,31509
Anne-Marie,2002,3242
Mac Miller,2009,162423
Mac Miller,2009,218030
Childish Gambino,3005,14698
Childish Gambino,3005,15418
Childish Gambino,3005,194722
Childish Gambino,3005,228800
The Band CAMINO,14-Feb,1068
The Band CAMINO,14-Feb,1230
The Band CAMINO,14-Feb,1253
The Band CAMINO,14-Feb,1323
The Band CAMINO,14-Feb,1370
The Band CAMINO,14-Feb,1439
The Band CAMINO,14-Feb,1602
The Band CAMINO,14-Feb,2159
The Band CAMINO,14-Feb,2159
The Band CAMINO,14-Feb,2368
The Band CAMINO,14-Feb,3297
The Band CAMINO,14-Feb,4864
The Band CAMINO,14-Feb,5294
The Band CAMINO,14-Feb,5503
The Band CAMINO,14-Feb,7616
The Band CAMINO,14-Feb,7872
The Band CAMINO,14-Feb,9173
The Band CAMINO,14-Feb,63165
The Band CAMINO,14-Feb,158843
The Band CAMINO,14-Feb,162702
The Band CAMINO,14-Feb,163690
The Band CAMINO,14-Feb,163690
The Band CAMINO,14-Feb,163690
The Band CAMINO,14-Feb,163690
The Band CAMINO,14-Feb,163690
The Band CAMINO,14-Feb,163690
The Band CAMINO,14-Feb,163690
The Japanese House,3-Mar,12140
Russ,16-Sep,2510
Rex Orange County,10-Oct,146093
Labyrinths: Getting Lost with Amanda Knox,#09 - The Forgotten Killer,249962
will.i.am,#thatPOWER,33983
Rajitheone,#WhiteGirlVoice,28425
Frank Sinatra,(How Little It Matters) How Little We Know,18111
Frank Sinatra,(How Little It Matters) How Little We Know,84458
Cutting Crew,(I Just) Died In Your Arms,247250
Nat King Cole,(I Love You) For Sentimental Reasons,5630
Dean Martin,(Remember Me) I'm the One Who Loves You,6790
KC & The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty",2581
LANY,(what i wish just one person would say to me),1301
Britney Spears,(You Drive Me) Crazy,133653
Christopher Walken,(You're) Timeless To Me,3903
Beyoncé,***Flawless (feat. Chimamanda Ngozi Adichie),1045
Beyoncé,***Flawless (feat. Chimamanda Ngozi Adichie),1514
girl in red,.,2410
Britney Spears,...Baby One More Time,2590
Britney Spears,...Baby One More Time,4330
Britney Spears,...Baby One More Time,11733
Britney Spears,...Baby One More Time,78250
Britney Spears,...Baby One More Time,188419
Britney Spears,...Baby One More Time,209365
Britney Spears,...Baby One More Time,211066
Britney Spears,...Baby One More Time,211066
Britney Spears,...Baby One More Time,211066
Taylor Swift,...Ready For It?,1439
Taylor Swift,...Ready For It?,1791
Taylor Swift,...Ready For It?,2840
Taylor Swift,...Ready For It?,3008
Taylor Swift,...Ready For It?,3157
Taylor Swift,...Ready For It?,3690
Taylor Swift,...Ready For It?,73856
Taylor Swift,...Ready For It?,208186
Taylor Swift,...Ready For It?,208186
Taylor Swift,...Ready For It?,208186
Taylor Swift,...Ready For It?,208186
Taylor Swift,...Ready For It? - BloodPop® Remix,184765
ELIO,@elio.irl,1087
ELIO,@elio.irl,1322
ELIO,@elio.irl,234361
The Band CAMINO,1 Last Cigarette,185832
Olivia Rodrigo,"1 step forward, 3 steps back",1066
Olivia Rodrigo,"1 step forward, 3 steps back",1514
Olivia Rodrigo,"1 step forward, 3 steps back",54633
Yung Gravy,1 Thot 2 Thot Red Thot Blue Thot,1277
Yung Gravy,1 Thot 2 Thot Red Thot Blue Thot,1555
Yung Gravy,1 Thot 2 Thot Red Thot Blue Thot,3408
Yung Gravy,1 Thot 2 Thot Red Thot Blue Thot,3946
Yung Gravy,1 Thot 2 Thot Red Thot Blue Thot,131139
Yung Gravy,1 Thot 2 Thot Red Thot Blue Thot,131139
Yung Gravy,1 Thot 2 Thot Red Thot Blue Thot,131139
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",7573
No Rome,1:45AM (feat. Bearface),27968
Beyoncé,1+1,3391
Leah Kate,10 Things I Hate About You,2453
Leah Kate,10 Things I Hate About You,4842
BØRNS,"10,000 Emerald Pools",6176
Dan + Shay,"10,000 Hours (with Justin Bieber)",1920
Dan + Shay,"10,000 Hours (with Justin Bieber)",2252
Dan + Shay,"10,000 Hours (with Justin Bieber)",167693
Mac Miller,100 Grandkids,2069
Mac Miller,100 Grandkids,2282
Dan + Shay,19 You + Me,2159
Dan + Shay,19 You + Me,10140
Dan + Shay,19 You + Me,217406
Dan + Shay,19 You + Me,217406
Lil Uzi Vert,20 Min,4133
Lil Uzi Vert,20 Min,74376
SZA,20 Something,5990
SZA,20 Something,52314
SZA,20 Something,198160
SZA,20 Something,198160
SZA,20 Something,198160
Nathan Dawe,21 Reasons (feat. Ella Henderson),6848
Taylor Swift,22 (Taylor's Version),1068
Taylor Swift,22 (Taylor's Version),1123
Taylor Swift,22 (Taylor's Version),1184
Taylor Swift,22 (Taylor's Version),1184
Taylor Swift,22 (Taylor's Version),1671
Taylor Swift,22 (Taylor's Version),1973
Taylor Swift,22 (Taylor's Version),2815
Taylor Swift,22 (Taylor's Version),4249
Taylor Swift,22 (Taylor's Version),4574
Taylor Swift,22 (Taylor's Version),8800
Taylor Swift,22 (Taylor's Version),35390
Taylor Swift,22 (Taylor's Version),106184
Taylor Swift,22 (Taylor's Version),132202
Taylor Swift,22 (Taylor's Version),230960
Taylor Swift,22 (Taylor's Version),230960
YNW Melly,223's (feat. 9lokknine),127978
YNW Melly,223's (feat. 9lokknine),176640
YNW Melly,223's (feat. 9lokknine),176640
Money Man,24 (feat. Lil Baby),182857
Surfaces,24 / 7 / 365,2794
Bruno Mars,24K Magic,24126
Bruno Mars,24K Magic,97035
tobi lou,2hrs,5874
tobi lou,2hrs,14233
tobi lou,2hrs,38698
MisterWives,3 small words,1600
MisterWives,3 small words,2368
MisterWives,3 small words,4970
MisterWives,3 small words,42240
The Madhappy Podcast,"3: Eric Nam on Anxiety, K-Pop, and Identity",1009
Ariana Grande,34+35,1130
Ariana Grande,34+35,3181
Ariana Grande,34+35,161877
Ariana Grande,34+35,173710
Ariana Grande,34+35,173710
Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",1973
Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",8310
Matchbox Twenty,3AM,1810
Russ,3AM,2484
Matchbox Twenty,3AM,225946
Matchbox Twenty,3AM,225946
Matchbox Twenty,3AM,225946
Matchbox Twenty,3AM,225946
Lorde,400 Lux,1021
Lorde,400 Lux,1114
Lorde,400 Lux,3970
Lorde,400 Lux,4394
Lorde,400 Lux,5921
Lorde,400 Lux,25565
Clairo,4EVER,159595
Fetty Wap,679 (feat. Remy Boyz),63829
Fetty Wap,679 (feat. Remy Boyz),145728
Fetty Wap,679 (feat. Remy Boyz),196693
Fetty Wap,679 (feat. Remy Boyz),196693
Ariana Grande,7 rings,1130
Ariana Grande,7 rings,2389
Ariana Grande,7 rings,3900
Ariana Grande,7 rings,5665
Ariana Grande,7 rings,87061
Ariana Grande,7 rings,178626
Ariana Grande,7 rings,178626
Ariana Grande,7 rings,178626
Ariana Grande,7 rings,178626
Ariana Grande,7 rings,178626
Ariana Grande,7 rings,178626
Ariana Grande,7 rings,178626
Ariana Grande,7 rings,178626
Miley Cyrus,7 Things - Single Version,1920
Miley Cyrus,7 Things - Single Version,2304
Miley Cyrus,7 Things - Single Version,4650
Miley Cyrus,7 Things - Single Version,100351
YNW Melly,772 Love,1813
YNW Melly,772 Love,8846
YNW Melly,772 Love,171370
YNW Melly,772 Love,178283
YNW Melly,772 Love,209488
Lilacs.,7PM,32430
Khalid,8TEEN,1160
Khalid,8TEEN,1300
Khalid,8TEEN,3903
Khalid,8TEEN,6037
Khalid,8TEEN,30954
Khalid,8TEEN,153344
Khalid,8TEEN,193308
Khalid,8TEEN,228600
Khalid,8TEEN,228600
Travis Scott,90210 (feat. Kacy Hill),1369
Travis Scott,90210 (feat. Kacy Hill),99451
Post Malone,92 Explorer,211426
Sleeping At Last,99 Red Balloons,5020
Hailey Knox,a boy named pluto,15167
Passenger,A Change Is Gonna Come (Cover),10922
Passenger,A Change Is Gonna Come (Cover),58282
The 1975,A Change Of Heart,1020
The 1975,A Change Of Heart,1030
The 1975,A Change Of Heart,1068
The 1975,A Change Of Heart,1114
The 1975,A Change Of Heart,1160
The 1975,A Change Of Heart,1253
The 1975,A Change Of Heart,1319
The 1975,A Change Of Heart,1346
The 1975,A Change Of Heart,1462
The 1975,A Change Of Heart,1462
The 1975,A Change Of Heart,1462
The 1975,A Change Of Heart,1509
The 1975,A Change Of Heart,1532
The 1975,A Change Of Heart,1535
The 1975,A Change Of Heart,1787
The 1975,A Change Of Heart,1850
The 1975,A Change Of Heart,1973
The 1975,A Change Of Heart,2120
The 1975,A Change Of Heart,2136
The 1975,A Change Of Heart,2520
The 1975,A Change Of Heart,2554
The 1975,A Change Of Heart,2624
The 1975,A Change Of Heart,2647
The 1975,A Change Of Heart,3181
The 1975,A Change Of Heart,3274
The 1975,A Change Of Heart,3490
The 1975,A Change Of Heart,3794
The 1975,A Change Of Heart,3873
The 1975,A Change Of Heart,4207
The 1975,A Change Of Heart,4458
The 1975,A Change Of Heart,5306
The 1975,A Change Of Heart,7488
The 1975,A Change Of Heart,8243
The 1975,A Change Of Heart,9220
The 1975,A Change Of Heart,10434
The 1975,A Change Of Heart,10623
The 1975,A Change Of Heart,12240
The 1975,A Change Of Heart,16137
The 1975,A Change Of Heart,17670
The 1975,A Change Of Heart,26145
The 1975,A Change Of Heart,37226
The 1975,A Change Of Heart,40422
The 1975,A Change Of Heart,41600
The 1975,A Change Of Heart,52964
The 1975,A Change Of Heart,71471
The 1975,A Change Of Heart,83461
The 1975,A Change Of Heart,86819
The 1975,A Change Of Heart,90302
The 1975,A Change Of Heart,92625
The 1975,A Change Of Heart,139737
The 1975,A Change Of Heart,141226
The 1975,A Change Of Heart,141363
The 1975,A Change Of Heart,172932
The 1975,A Change Of Heart,184737
The 1975,A Change Of Heart,237400
The 1975,A Change Of Heart,254103
The 1975,A Change Of Heart,260948
The 1975,A Change Of Heart,261909
The 1975,A Change Of Heart,263012
The 1975,A Change Of Heart,280566
The 1975,A Change Of Heart,281054
The 1975,A Change Of Heart,281843
The 1975,A Change Of Heart,282029
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,A Change Of Heart,283840
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",51501
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",168938
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",281834
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",353470
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",354688
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",354688
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",354688
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",354688
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",354688
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",354688
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",354688
The 1975,"A Change of Heart - Live From The O2, London. 16.12.16",355058
Lily James,A Dream Is a Wish Your Heart Makes,2410
Vinil,A Dream Is A Wish Your Heart Makes,3157
Lily James,A Dream Is a Wish Your Heart Makes,3306
Lily James,A Dream Is a Wish Your Heart Makes,33120
Ron Pope,A Drop in the Ocean,3541
Ron Pope,A Drop in the Ocean,220239
Blake Shelton,A Guy with a Girl,189466
Coldplay,A Head Full of Dreams,4226
Coldplay,A Head Full of Dreams,7360
Coldplay,A Head Full of Dreams,28398
Kristin Chenoweth,A House Is Not A Home,61482
Louis Armstrong,A Kiss To Build A Dream On,22020
JP Saxe,A Little Bit Yours,4770
JP Saxe,A Little Bit Yours,7580
The Lumineers,a little sound,1230
All Time Low,A Love Like War (feat. Vic Fuentes),26890
ODESZA,A Moment Apart,1002
ODESZA,A Moment Apart,9240
Frou Frou,A New Kind Of Love - Demo,6037
High School Musical Cast,A Night to Remember,1140
High School Musical Cast,A Night to Remember,36596
Sara Bareilles,A Safe Place to Land (feat. John Legend),4735
Coldplay,A Sky Full of Stars,11470
Beth,A Sky Full of Stars,52223
Donny Hathaway,A Song for You,122400
Jóhann Jóhannsson,A Sparrow Alighted upon our Shoulder,93440
Julie Andrews,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",3178
Julie Andrews,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",15637
Julie Andrews,"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",84938
Cheryl Freeman,A Star Is Born,4551
Etta James,A Sunday Kind Of Love,1200
Etta James,A Sunday Kind Of Love,13340
Post Malone,A Thousand Bad Times,219456
Post Malone,A Thousand Bad Times,221173
Post Malone,A Thousand Bad Times,221173
Vanessa Carlton,A Thousand Miles,2368
Ben Wright,A Very Nice Prince / First Midnight / Giants in the Sky,1258
