"","no","title","artist","year"
"1","1","Theme from A Summer Place","Percy Faith","1960"
"2","2","He'll Have to Go","Jim Reeves","1960"
"3","3","Cathy's Clown","The Everly Brothers","1960"
"4","4","Running Bear","Johnny Preston","1960"
"5","5","Teen Angel","Mark Dinning","1960"
"6","6","I'm Sorry","Brenda Lee","1960"
"7","7","It's Now or Never","Elvis Presley","1960"
"8","8","Handy Man","Jimmy Jones","1960"
"9","9","Stuck on You","Elvis Presley","1960"
"10","10","The Twist","Chubby Checker","1960"
"11","11","Everybody's Somebody's Fool","Connie Francis","1960"
"12","12","Wild One","Bobby Rydell","1960"
"13","13","Greenfields","The Brothers Four","1960"
"14","14","What in the World's Come Over You","Jack Scott","1960"
"15","15","El Paso","Marty Robbins","1960"
"16","16","Alley Oop","The Hollywood Argyles","1960"
"17","17","My Heart Has a Mind of Its Own","Connie Francis","1960"
"18","18","Sweet Nothin's","Brenda Lee","1960"
"19","19","Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini","Brian Hyland","1960"
"20","20","Only the Lonely","Roy Orbison","1960"
"21","21","Where or When","Dion and the Belmonts","1960"
"22","22","Sixteen Reasons","Connie Stevens","1960"
"23","23","Puppy Love","Paul Anka","1960"
"24","24","Why","Frankie Avalon","1960"
"25","25","Walk, Don't Run","The Ventures","1960"
"26","26","Save the Last Dance for Me","The Drifters","1960"
"27","27","Baby (You've Got What It Takes)","Dinah Washington & Brook Benton","1960"
"28","28","Sink the Bismarck","Johnny Horton","1960"
"29","29","Chain Gang","Sam Cooke","1960"
"30","30","Let It Be Me","The Everly Brothers","1960"
"31","31","Good Timin'","Jimmy Jones","1960"
"32","32","Beyond the Sea","Bobby Darin","1960"
"33","33","Go Jimmy Go","Jimmy Clanton","1960"
"34","34","Night","Jackie Wilson","1960"
"35","35","Burning Bridges","Jack Scott","1960"
"36","36","The Big Hurt","Toni Fisher","1960"
"37","37","Because They're Young","Duane Eddy","1960"
"38","38","Lonely Blue Boy","Conway Twitty","1960"
"39","39","Pretty Blue Eyes","Steve Lawrence","1960"
"40","40","Way Down Yonder in New Orleans","Freddy Cannon","1960"
